Time,Norm mean,,,,Dose
0,22.651215,,,,550
1,34.52904944,,,,
3,55.60892499,,,,
5,62.46923299,,,,
7,61.02067284,,,,
9,60.31575658,,,,
11,57.84243235,,,,
13,55.95066634,,,,
15,53.1299894,,,,
17,51.40610439,,,,
19,46.86963754,,,,
21,43.37384896,,,,
23,38.75919095,,,,
25,35.16396162,,,,
27,32.57445453,,,,
29,30.56908137,,,,
31,29.03193525,,,,
33,28.10192044,,,,
35,27.79605504,,,,
37,27.16758213,,,,
39,27.11993152,,,,
41,26.72897574,,,,
43,27.21974023,,,,
45,26.79548422,,,,
47,26.9813032,,,,
49,26.6073655,,,,
51,26.62576342,,,,
53,26.8230811,,,,
55,26.62806316,,,,
57,26.8911534,,,,
59,27.0679574,,,,
61,26.47416457,,,,
