Time,Norm mean,,,,Dose
0,22.68874,,,,350
1,56.31765207,,,,
3,57.8149667,,,,
5,57.05393678,,,,
7,50.30153258,,,,
9,43.03159492,,,,
11,37.1421451,,,,
13,31.25536299,,,,
15,28.96574198,,,,
17,26.8049064,,,,
19,25.13989474,,,,
21,25.65200081,,,,
23,26.00156127,,,,
25,24.92068353,,,,
27,24.85905051,,,,
29,25.05526431,,,,
31,25.04459352,,,,
33,26.23217918,,,,
35,25.06878678,,,,
37,25.48549964,,,,
39,26.08196018,,,,
41,26.11995188,,,,
43,26.48174695,,,,
45,26.3257326,,,,
47,26.44587101,,,,
49,26.27844995,,,,
51,26.63260989,,,,
53,27.51635392,,,,
55,26.57005697,,,,
57,27.94254172,,,,
59,26.13926969,,,,
61,25.73635527,,,,
