Time,Norm mean,,,,Dose
0,22.808415,,,,350
1,24.87324598,,,,
3,27.58070305,,,,
5,28.02993811,,,,
7,27.89444725,,,,
9,26.86906344,,,,
11,26.22350491,,,,
13,25.30444611,,,,
15,24.6136946,,,,
17,24.12618818,,,,
19,23.74493632,,,,
21,23.49619885,,,,
23,23.40021222,,,,
25,23.37995816,,,,
27,23.27387972,,,,
29,23.12153396,,,,
31,23.23360056,,,,
33,23.32712148,,,,
35,23.37520286,,,,
37,23.46208397,,,,
39,23.32266559,,,,
41,23.18129225,,,,
43,23.23131097,,,,
45,23.31444068,,,,
47,23.3101609,,,,
49,23.46203113,,,,
51,23.4285679,,,,
53,23.52221211,,,,
55,23.2368236,,,,
57,23.4053726,,,,
59,23.2202681,,,,
61,23.34478654,,,,
