Time,Norm mean,,,,Dose
0,23.0087,,,,150
1,27.32277957,,,,
3,26.61899501,,,,
5,24.88607525,,,,
7,23.85118084,,,,
9,23.30120385,,,,
11,23.40066009,,,,
13,23.1688832,,,,
15,23.43183373,,,,
17,23.29035472,,,,
19,23.22459067,,,,
21,23.52998667,,,,
23,23.06942696,,,,
25,23.32492752,,,,
27,23.51244489,,,,
29,23.53433689,,,,
31,23.37394235,,,,
33,23.13471548,,,,
35,23.32064775,,,,
37,23.15373668,,,,
39,23.33748504,,,,
41,23.18609034,,,,
43,23.20757726,,,,
45,23.16576583,,,,
47,23.23181168,,,,
49,23.30361673,,,,
51,23.26111843,,,,
53,23.19054624,,,,
55,22.99017194,,,,
57,23.10525022,,,,
59,23.12009733,,,,
61,23.05088128,,,,
