Time,Norm mean,,,,Dose
0,22.709315,,,,550
1,61.84467821,,,,
3,62.04668736,,,,
5,60.50512573,,,,
7,58.4588172,,,,
9,55.54615066,,,,
11,50.27358307,,,,
13,43.81407374,,,,
15,36.54202031,,,,
17,30.98548084,,,,
19,28.73118384,,,,
21,27.20811212,,,,
23,26.22814697,,,,
25,25.96192908,,,,
27,26.37349053,,,,
29,25.7142011,,,,
31,26.979334,,,,
33,26.87078628,,,,
35,27.56567567,,,,
37,27.19826923,,,,
39,26.06284167,,,,
41,26.811361,,,,
43,26.30173864,,,,
45,26.8033579,,,,
47,26.44367859,,,,
49,26.62489809,,,,
51,26.03800448,,,,
53,26.11315997,,,,
55,26.78891554,,,,
57,26.75892693,,,,
59,26.33724663,,,,
61,25.1625395,,,,
