Time,Norm mean,,,,Dose
0,23.0087,,,,150
1,45.54136722,,,,
3,41.86546302,,,,
5,32.81433084,,,,
7,27.40902226,,,,
9,24.53646319,,,,
11,25.05592843,,,,
13,23.84534536,,,,
15,25.21875001,,,,
17,24.4797976,,,,
19,24.13630845,,,,
21,25.73140802,,,,
23,23.32588012,,,,
25,24.66037317,,,,
27,25.63978638,,,,
29,25.75412945,,,,
31,24.91638021,,,,
33,23.66688555,,,,
35,24.6380197,,,,
37,23.76623431,,,,
39,24.72596175,,,,
41,23.9352192,,,,
43,24.0474465,,,,
45,23.8290632,,,,
47,24.17402418,,,,
49,24.54906576,,,,
51,24.32709487,,,,
53,23.95849256,,,,
55,22.91192695,,,,
57,23.51298696,,,,
59,23.59053419,,,,
61,23.22901508,,,,
