Time,Norm mean,,,,Dose
0,22.651215,,,,550
1,44.13276682,,,,
3,82.25658824,,,,
5,94.66373725,,,,
7,92.04395668,,,,
9,90.76908664,,,,
11,86.2959781,,,,
13,82.87464151,,,,
15,77.77333132,,,,
17,74.65561443,,,,
19,66.45122765,,,,
21,60.12895032,,,,
23,51.78315162,,,,
25,45.2810316,,,,
27,40.59780159,,,,
29,36.97100179,,,,
31,34.19100984,,,,
33,32.50903985,,,,
35,31.95586969,,,,
37,30.8192506,,,,
39,30.73307252,,,,
41,30.02601292,,,,
43,30.91358067,,,,
45,30.14629624,,,,
47,30.4823575,,,,
49,29.8060758,,,,
51,29.83934919,,,,
53,30.19620633,,,,
55,29.84350836,,,,
57,30.31931788,,,,
59,30.63907518,,,,
61,29.56517643,,,,
