Time,Norm mean,,,,Dose
0,22.82112,,,,350
1,82.60874825,,,,
3,85.33101087,,,,
5,82.96410808,,,,
7,75.51486094,,,,
9,63.85852604,,,,
11,49.49939346,,,,
13,35.4297394,,,,
15,35.50410543,,,,
17,31.51961666,,,,
19,28.73912561,,,,
21,29.43004761,,,,
23,31.01502566,,,,
25,25.76282064,,,,
27,28.6193414,,,,
29,28.80400873,,,,
31,29.85311879,,,,
33,31.45639722,,,,
35,25.88759586,,,,
37,28.60104103,,,,
39,26.82024906,,,,
41,27.38539763,,,,
43,29.37464741,,,,
45,29.79555583,,,,
47,32.18342085,,,,
49,27.04550993,,,,
51,27.83458843,,,,
53,26.6750107,,,,
55,24.48129592,,,,
57,25.99789716,,,,
59,27.0143993,,,,
61,26.02068943,,,,
