Time,Norm mean,,,,Dose
0,21.84968223,,,,150
1,22.99986627,,,,
3,24.49016001,,,,
5,24.36206629,,,,
7,23.73665614,,,,
9,23.29546987,,,,
11,22.82321564,,,,
13,22.87640456,,,,
15,22.93512373,,,,
17,22.8196932,,,,
19,22.77050225,,,,
21,22.82275772,,,,
23,22.76579978,,,,
25,22.81171486,,,,
27,22.92244292,,,,
29,22.80708284,,,,
31,22.86249091,,,,
33,23.000923,,,,
35,22.97510348,,,,
37,22.91645477,,,,
39,22.93218249,,,,
41,23.05881439,,,,
43,22.82610405,,,,
45,22.81770302,,,,
47,22.68332173,,,,
49,22.65272929,,,,
51,22.71801782,,,,
53,22.62661036,,,,
55,22.40205448,,,,
57,22.57042736,,,,
59,22.14697661,,,,
61,22.37346983,,,,
