Time,Norm mean,,,,Dose
0,22.35569008,,,,150
1,26.94349006,,,,
3,25.79288333,,,,
5,24.40581485,,,,
7,23.43930871,,,,
9,22.95338739,,,,
11,23.16115882,,,,
13,23.07702522,,,,
15,23.10578599,,,,
17,23.07566908,,,,
19,23.07954377,,,,
21,22.96048512,,,,
23,22.86897199,,,,
25,23.04326258,,,,
27,22.96812883,,,,
29,23.04368528,,,,
31,22.82323304,,,,
33,22.93160107,,,,
35,22.95861822,,,,
37,22.90261134,,,,
39,22.95668088,,,,
41,23.01309284,,,,
43,22.91740561,,,,
45,22.91117089,,,,
47,22.76088576,,,,
49,22.82001,,,,
51,22.77590899,,,,
53,22.83063018,,,,
55,22.79910429,,,,
57,22.68268748,,,,
59,22.77844515,,,,
61,22.76146696,,,,
