Time,Norm mean,,,,Dose
0,22.82886493,,,,150
1,27.37914335,,,,
3,26.6368261,,,,
5,24.80902777,,,,
7,23.71747218,,,,
9,23.13738357,,,,
11,23.24228511,,,,
13,22.99781827,,,,
15,23.27516553,,,,
17,23.12594044,,,,
19,23.05657576,,,,
21,23.3786924,,,,
23,22.89291673,,,,
25,23.16240612,,,,
27,23.3601902,,,,
29,23.3832808,,,,
31,23.21410455,,,,
33,22.96177984,,,,
35,23.15789203,,,,
37,22.98184247,,,,
39,23.17565117,,,,
41,23.01596751,,,,
43,23.03863085,,,,
45,22.99453022,,,,
47,23.06419213,,,,
49,23.13992855,,,,
51,23.09510344,,,,
53,23.02066737,,,,
55,22.80932244,,,,
57,22.93070134,,,,
59,22.94636134,,,,
61,22.87335566,,,,
